Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Ordenado; -1; 20661; 0.014000; 429792.523000; 429792.537000
Jump; -1; 20661; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 20661; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 9972; 1.562000; 0; 1.562000
Ordenado; -1; 9972; 0.008000; 429792.523000; 429792.531000
Jump; -1; 9972; 0.003000; 429792.523000; 429792.526000
Binaria; -1; 9972; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 22079; 1.608000; 0; 1.608000
Ordenado; -1; 22079; 0.017000; 429792.523000; 429792.540000
Jump; -1; 22079; 0.003000; 429792.523000; 429792.526000
Binaria; -1; 22079; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 1280; 1.576000; 0; 1.576000
Ordenado; -1; 1280; 0.002000; 429792.523000; 429792.525000
Jump; -1; 1280; 0.003000; 429792.523000; 429792.526000
Binaria; -1; 1280; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 8351; 1.578000; 0; 1.578000
Ordenado; -1; 8351; 0.006000; 429792.523000; 429792.529000
Jump; -1; 8351; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 8351; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 12092; 1.567000; 0; 1.567000
Ordenado; -1; 12092; 0.009000; 429792.523000; 429792.532000
Jump; -1; 12092; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 12092; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 8054; 1.564000; 0; 1.564000
Ordenado; -1; 8054; 0.006000; 429792.523000; 429792.529000
Jump; -1; 8054; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 8054; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 9906; 1.616000; 0; 1.616000
Ordenado; -1; 9906; 0.007000; 429792.523000; 429792.530000
Jump; -1; 9906; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 9906; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 5947; 1.564000; 0; 1.564000
Ordenado; -1; 5947; 0.005000; 429792.523000; 429792.528000
Jump; -1; 5947; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 5947; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 6551; 1.577000; 0; 1.577000
Ordenado; -1; 6551; 0.005000; 429792.523000; 429792.528000
Jump; -1; 6551; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 6551; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 28151; 1.559000; 0; 1.559000
Ordenado; -1; 28151; 0.018000; 429792.523000; 429792.541000
Jump; -1; 28151; 0.003000; 429792.523000; 429792.526000
Binaria; -1; 28151; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 6310; 1.567000; 0; 1.567000
Ordenado; -1; 6310; 0.005000; 429792.523000; 429792.528000
Jump; -1; 6310; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 6310; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 13357; 1.563000; 0; 1.563000
Ordenado; -1; 13357; 0.010000; 429792.523000; 429792.533000
Jump; -1; 13357; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 13357; 0.002000; 429792.523000; 429792.525000
